scheme,boundary,mean_hit_ratio,mean_best_cover,mean_best_iou,full80_ratio,avg_num_pred_spans,rank_score
object_scene_balanced,thres_hz0.8_lz0.4_exp8_12,0.9787234042553191,0.5460871602810154,0.4493274779134873,0.1702127659574468,2.9361702127659575,0.5834605560018583
object_balanced_with_collision,thres_hz0.8_lz0.1_exp4_8,0.9787234042553191,0.5473584394653352,0.4478133252095451,0.19148936170212766,3.4468085106382977,0.5832921255031389
object_balanced_with_collision,thres_hz0.6_lz0.1_exp4_8,0.9787234042553191,0.5473584394653352,0.44734627798588134,0.19148936170212766,3.4468085106382977,0.583175363697223
object_scene_balanced,thres_hz0.8_lz0.1_exp8_12,0.9787234042553191,0.5464466441648679,0.4455441133381235,0.1702127659574468,2.9148936170212765,0.5828008397786669
object_scene_balanced,thres_hz1.0_lz0.25_exp8_12,0.9787234042553191,0.5432450659964931,0.4513810115877036,0.1702127659574468,2.978723404255319,0.5823401263207044
object_scene_balanced,thres_hz1.0_lz0.4_exp8_12,0.9787234042553191,0.5432450659964931,0.4513810115877036,0.1702127659574468,2.978723404255319,0.5823401263207044
object_scene_balanced,thres_hz1.0_lz0.1_exp8_12,0.9787234042553191,0.5436045498803456,0.4475976470123398,0.1702127659574468,2.9574468085106385,0.581680410097513
object_residual_turn,thres_hz0.6_lz0.4_exp4_8,0.9787234042553191,0.5410407537018608,0.4408750785431409,0.19148936170212766,3.5106382978723403,0.5780795720186305
object_residual_turn,thres_hz0.6_lz0.1_exp4_8,0.9787234042553191,0.5411493077617826,0.44095079596571973,0.19148936170212766,3.5319148936170213,0.5780463954255127
object_residual_turn,thres_hz0.6_lz0.25_exp4_8,0.9787234042553191,0.5410407537018608,0.4408750785431409,0.19148936170212766,3.5319148936170213,0.5779731890399071
object_residual_turn,thres_hz1.0_lz0.1_exp4_8,0.9787234042553191,0.5383497556901141,0.4400732466890345,0.19148936170212766,3.4893617021276597,0.576639998027954
object_residual_turn,thres_hz0.8_lz0.4_exp4_8,0.9787234042553191,0.5382412016301924,0.43963135597012504,0.19148936170212766,3.4893617021276597,0.5764752483182657
object_residual_turn,thres_hz0.8_lz0.25_exp4_8,0.9787234042553191,0.5382412016301924,0.43963135597012504,0.19148936170212766,3.5106382978723403,0.5763688653395422
object_residual_turn,thres_hz0.8_lz0.1_exp4_8,0.9787234042553191,0.5383497556901141,0.439707073392704,0.19148936170212766,3.5319148936170213,0.5763356887464246
object_balanced_with_collision,thres_hz0.8_lz0.4_exp4_8,0.9787234042553191,0.5400146595151724,0.4411174553722484,0.1702127659574468,3.425531914893617,0.5759249914729887
object_balanced_with_collision,thres_hz0.6_lz0.4_exp4_8,0.9787234042553191,0.5400146595151724,0.4408060905564725,0.1702127659574468,3.425531914893617,0.5758471502690448
object_balanced_with_collision,thres_hz0.8_lz0.25_exp4_8,0.9787234042553191,0.5400146595151724,0.4411174553722484,0.1702127659574468,3.4468085106382977,0.5758186084942652
object_residual_turn,thres_hz1.0_lz0.25_exp4_8,0.9787234042553191,0.5369114143961498,0.43905885592477845,0.19148936170212766,3.4680851063829787,0.5757736126686313
object_balanced_with_collision,thres_hz0.6_lz0.25_exp4_8,0.9787234042553191,0.5400146595151724,0.4408060905564725,0.1702127659574468,3.4468085106382977,0.5757407672903213
object_residual_turn,thres_hz1.0_lz0.4_exp4_8,0.9787234042553191,0.5364681519848022,0.4387459648108861,0.19148936170212766,3.4468085106382977,0.5755801416632078
object_balanced_with_collision,thres_hz1.0_lz0.1_exp4_8,0.9574468085106383,0.5376066664156899,0.44110330598388126,0.19148936170212766,3.382978723404255,0.5728025639591344
object_balanced_with_collision,thres_hz1.0_lz0.25_exp4_8,0.9574468085106383,0.5307061488768744,0.43472032726047705,0.1702127659574468,3.382978723404255,0.5656289009344077
object_balanced_with_collision,thres_hz1.0_lz0.4_exp4_8,0.9574468085106383,0.5307061488768744,0.43472032726047705,0.1702127659574468,3.382978723404255,0.5656289009344077
object_scene_balanced,thres_hz0.6_lz0.1_exp4_8,1.0,0.5027329840230014,0.43068269165335593,0.1276595744680851,3.5106382978723403,0.5542499308822865
object_scene_balanced,thres_hz0.6_lz0.25_exp4_8,1.0,0.5023735001391489,0.4304094592891093,0.1276595744680851,3.5319148936170213,0.5538954978705752
object_scene_balanced,thres_hz0.6_lz0.4_exp4_8,1.0,0.5023735001391489,0.4304094592891093,0.1276595744680851,3.5319148936170213,0.5538954978705752
object_scene_light,thres_hz0.8_lz0.1_exp4_8,0.9787234042553191,0.5076585785321261,0.4329247638885457,0.1276595744680851,3.574468085106383,0.55269877811054
object_scene_light,thres_hz0.8_lz0.25_exp4_8,0.9787234042553191,0.5075500244722043,0.4329247638885457,0.1276595744680851,3.595744680851064,0.5525381181018556
object_scene_light,thres_hz0.6_lz0.1_exp4_8,0.9787234042553191,0.5076585785321261,0.4301560703210352,0.1276595744680851,3.595744680851064,0.5519002217399389
object_scene_light,thres_hz0.8_lz0.4_exp4_8,0.9787234042553191,0.5065829064838098,0.4319996945083422,0.1276595744680851,3.595744680851064,0.5518232917626075
object_scene_light,thres_hz0.6_lz0.25_exp4_8,0.9787234042553191,0.5075500244722043,0.4301560703210352,0.1276595744680851,3.617021276595745,0.5517395617312546
object_scene_light,thres_hz0.6_lz0.4_exp4_8,0.9787234042553191,0.5065829064838098,0.42955672959583296,0.1276595744680851,3.617021276595745,0.5511061675557567
object_scene_balanced,thres_hz0.8_lz0.1_exp4_8,0.9787234042553191,0.49983163005781767,0.43586553764037383,0.1276595744680851,3.5319148936170213,0.5497332632687896
object_scene_balanced,thres_hz0.8_lz0.25_exp4_8,0.9787234042553191,0.4994721461739652,0.4355330908318633,0.1276595744680851,3.5531914893617023,0.5493640266460122
object_scene_balanced,thres_hz0.8_lz0.4_exp4_8,0.9787234042553191,0.4994721461739652,0.4355330908318633,0.1276595744680851,3.5531914893617023,0.5493640266460122
object_scene_balanced,thres_hz1.0_lz0.1_exp4_8,0.9787234042553191,0.49698953577329524,0.4336752998431273,0.1276595744680851,3.5319148936170213,0.5477646566772167
object_scene_balanced,thres_hz1.0_lz0.25_exp4_8,0.9787234042553191,0.49663005188944276,0.43334285303461667,0.1276595744680851,3.5531914893617023,0.5473954200544394
object_scene_balanced,thres_hz1.0_lz0.4_exp4_8,0.9787234042553191,0.49663005188944276,0.43334285303461667,0.1276595744680851,3.5531914893617023,0.5473954200544394
object_scene_light,thres_hz1.0_lz0.1_exp4_8,0.9574468085106383,0.4965695481698266,0.42284500318314605,0.1276595744680851,3.5319148936170213,0.540591769561551
object_scene_light,thres_hz1.0_lz0.25_exp4_8,0.9574468085106383,0.4964609941099048,0.42284500318314605,0.1276595744680851,3.5531914893617023,0.5404311095528666
object_scene_light,thres_hz1.0_lz0.4_exp4_8,0.9574468085106383,0.4951312068758622,0.4219063298414689,0.1276595744680851,3.5531914893617023,0.539531547600426
