hit_ratio,full80_ratio,mean_best_cover,mean_best_iou,mean_best_pred_to_gt_ratio,avg_span_ratio,num_pred_spans,gt_lift,wide_single_flag,raw_span_count,final_span_count,merge_compression,merge_to_single_flag,merge_to_single_rate,scheme,boundary,coverage_rank,vlm_ready_rank,method,high_z,low_z,peak_gap,peak_expand_left,peak_expand_right,peak_expand_sum,merge_gap,min_span_len
1.0,0.7446808510638298,0.847410722073243,0.5419954689716537,1.6218459631040854,0.8271471342564883,1.8297872340425532,0.5685012682707623,0.2553191489361702,4.595744680851064,1.8297872340425532,0.2174924661626789,0.0,0.0,turn_focus__layout_only__scene0.15__smooth5,thres_hz0.8_lz0_exp8_12_mg8_min4,0.7329943423388099,0.6332146230549177,by_thres,0.8,0.0,4,8,12,20,8,4
1.0,0.7446808510638298,0.847410722073243,0.5419954689716537,1.6218459631040854,0.8271471342564883,1.8297872340425532,0.5685012682707623,0.2553191489361702,4.595744680851064,1.8297872340425532,0.2174924661626789,0.0,0.0,turn_focus__layout_only__scene0.15__smooth5,thres_hz0.8_lz0_exp8_12_mg8_min6,0.7329943423388099,0.6332146230549177,by_thres,0.8,0.0,4,8,12,20,8,6
1.0,0.723404255319149,0.8448505596509246,0.5588535481943795,1.5710659951044077,0.8249363300462245,2.0638297872340425,0.6045345284559942,0.2978723404255319,5.0212765957446805,2.0638297872340425,0.20775566965748202,0.0,0.0,source_like_smooth3,thres_hz0.8_lz0_exp8_12_mg0_min8,0.7340064019623029,0.6331578541881392,by_thres,0.8,0.0,4,8,12,20,0,8
1.0,0.723404255319149,0.8448505596509246,0.5592606047983253,1.5696065460765694,0.8261841430167745,2.0851063829787235,0.6045345284559942,0.2978723404255319,4.9787234042553195,2.0851063829787235,0.20154379642433215,0.0,0.0,source_like_smooth3,thres_hz1_lz0_exp8_12_mg0_min4,0.7340796721510132,0.6328486393536056,by_thres,1.0,0.0,4,8,12,20,0,4
1.0,0.723404255319149,0.8448505596509246,0.5592606047983253,1.5696065460765694,0.8261841430167745,2.0851063829787235,0.6045345284559942,0.2978723404255319,4.9787234042553195,2.0851063829787235,0.20154379642433215,0.0,0.0,source_like_smooth3,thres_hz1_lz0_exp8_12_mg0_min6,0.7340796721510132,0.6328486393536056,by_thres,1.0,0.0,4,8,12,20,0,6
1.0,0.723404255319149,0.8429163236741355,0.5580789960247411,1.5654003503810119,0.8242134139020955,2.0851063829787235,0.6045345284559942,0.2978723404255319,4.9361702127659575,2.0851063829787235,0.19774884806051482,0.0,0.0,source_like_smooth3,thres_hz1.2_lz0_exp8_12_mg0_min4,0.7330546034615166,0.632670529891199,by_thres,1.2,0.0,4,8,12,20,0,4
1.0,0.723404255319149,0.8429163236741355,0.5580789960247411,1.5654003503810119,0.8242134139020955,2.0851063829787235,0.6045345284559942,0.2978723404255319,4.9361702127659575,2.0851063829787235,0.19774884806051482,0.0,0.0,source_like_smooth3,thres_hz1.2_lz0_exp8_12_mg0_min6,0.7330546034615166,0.632670529891199,by_thres,1.2,0.0,4,8,12,20,0,6
1.0,0.723404255319149,0.8448505596509246,0.5588535481943795,1.5710659951044077,0.8268457681258753,2.0851063829787235,0.6045345284559942,0.2978723404255319,5.0212765957446805,2.0851063829787235,0.2024365207213118,0.0,0.0,source_like_smooth3,thres_hz0.8_lz0_exp8_12_mg0_min4,0.7340064019623029,0.632585022764244,by_thres,0.8,0.0,4,8,12,20,0,4
1.0,0.723404255319149,0.8448505596509246,0.5588535481943795,1.5710659951044077,0.8268457681258753,2.0851063829787235,0.6045345284559942,0.2978723404255319,5.0212765957446805,2.0851063829787235,0.2024365207213118,0.0,0.0,source_like_smooth3,thres_hz0.8_lz0_exp8_12_mg0_min6,0.7340064019623029,0.632585022764244,by_thres,0.8,0.0,4,8,12,20,0,6
1.0,0.723404255319149,0.8432254457715055,0.5380649586128048,1.6176606868023478,0.8230765412701557,1.8085106382978724,0.5685012682707623,0.2553191489361702,4.51063829787234,1.8085106382978724,0.2165533343724833,0.0,0.0,turn_focus__layout_only__scene0.15__smooth5,thres_hz1_lz0_exp8_12_mg8_min4,0.726699247193445,0.6295726129986252,by_thres,1.0,0.0,4,8,12,20,8,4
1.0,0.723404255319149,0.8432254457715055,0.5380649586128048,1.6176606868023478,0.8230765412701557,1.8085106382978724,0.5685012682707623,0.2553191489361702,4.51063829787234,1.8085106382978724,0.2165533343724833,0.0,0.0,turn_focus__layout_only__scene0.15__smooth5,thres_hz1_lz0_exp8_12_mg8_min6,0.726699247193445,0.6295726129986252,by_thres,1.0,0.0,4,8,12,20,8,6
1.0,0.723404255319149,0.8432254457715055,0.5380649586128048,1.6176606868023478,0.8230765412701557,1.8085106382978724,0.5685012682707623,0.2553191489361702,4.51063829787234,1.8085106382978724,0.2165533343724833,0.0,0.0,turn_focus__layout_only__scene0.15__smooth5,thres_hz1_lz0_exp8_12_mg8_min8,0.726699247193445,0.6295726129986252,by_thres,1.0,0.0,4,8,12,20,8,8
